CVE ID,Primary Impact,Secondary Impact,Exploitation Technique,Uncategorized,Phase
CVE-2017-14487,,,,T1552; T1566; T1204; T880,Phase 1
CVE-2014-4077,,,,T1553; T1557; T1553.002,Phase 1
CVE-2018-0622,,,,T1557,Phase 1
CVE-2015-7931,,,,T1557,Phase 1
CVE-2014-3566,,,,T1557,Phase 1
CVE-2018-16179,,,,T1557; T1211,Phase 1
CVE-2019-12258,,,,T1563,Phase 1
CVE-2018-10299,,,,T1565.003,Phase 1
CVE-2020-1020,,,,T1566; T1203,Phase 1
CVE-2017-8759,,,,T1566; T1203,Phase 1
CVE-2017-11847,,,,T1566; T1203,Phase 1
CVE-2013-3906,,,,T1566; T1203,Phase 1
CVE-2012-6467,,,,T1566; T1203,Phase 1
CVE-2019-6340,,,,T1566.001; T1203,Phase 1
CVE-2020-4100,,,,T1574,Phase 1
CVE-2020-0688,,,,T1574; T1068,Phase 1
CVE-2019-0708,,,,T1574; T1068,Phase 1
CVE-2018-10657,,,,T1574.001,Phase 1
CVE-2009-0238,,,,T1574.001,Phase 1
CVE-2018-11049,,,,T1574.008,Phase 1
CVE-2012-1854,,,,T1574.008,Phase 1
CVE-2019-0797,,,,T1608,Phase 1
CVE-2018-8453,,,,T1608,Phase 1
CVE-2018-8440,,,,T1608,Phase 1
CVE-2018-19320,,,,T1608,Phase 1
CVE-2016-7255,,,,T1608,Phase 1
CVE-2016-0728,,,,T1608,Phase 1
CVE-2016-0167,,,,T1608,Phase 1
CVE-2016-0165,,,,T1608,Phase 1
CVE-2015-6175,,,,T1608,Phase 1
CVE-2015-2546,,,,T1608,Phase 1
CVE-2014-4076,,,,T1608,Phase 1
CVE-2013-6282,,,,T1608,Phase 1
CVE-2013-3660,,,,T1608,Phase 1
CVE-2012-2319,,,,T1608,Phase 1
CVE-2011-1249,,,,T1608,Phase 1
CVE-2010-3081,,,,T1608,Phase 1
CVE-2010-0232,,,,T1608,Phase 1
CVE-2008-3431,,,,T1608,Phase 1
CVE-2010-3338,,,,T1608; T1053.005,Phase 1
CVE-2018-14847,,,,T812; T1078,Phase 1
CVE-2018-18665,,,,T828,Phase 1
CVE-2018-18667,,,,T828; T1565,Phase 1
CVE-2018-17877,,,,T828; T1565,Phase 1
CVE-2018-19831,,,,T828; T1565; T1068,Phase 1
CVE-2018-19830,,,,T828; T1565; T1068,Phase 1
CVE-2018-19833,,,,T828; T1565.001,Phase 1
CVE-2019-13533,,,,T855; T842,Phase 1
CVE-2019-10980,,,,T873; T1203,Phase 1
